sentence_id,word_id,word,nFix,FFD,GPT,TRT,fixProp
0,0,Anchored,7.6,275.8,337.8,1559.0,1.0
0,1,by,2.0,194.0,563.2,542.0,0.8
0,2,friel,2.4,350.0,420.8,646.0,1.0
0,3,and,1.6,121.2,328.4,403.0,0.4
0,4,williams's,4.6,352.0,477.4,1136.4,1.0
0,5,exceptional,2.8,162.8,268.8,646.2,0.6
0,6,performances,4.0,254.0,408.0,1072.4,1.0
0,7,",",0.6,76.6,76.6,97.8,0.4
0,8,the,0.6,82.6,82.6,119.2,0.4
0,9,film's,3.0,215.2,215.2,695.4,1.0
0,10,power,3.0,266.2,383.0,755.0,1.0
0,11,lies,2.2,413.8,413.8,870.2,1.0
0,12,in,0.2,20.0,20.0,20.0,0.2
0,13,its,0.6,222.0,222.0,284.0,0.4
0,14,complexity,3.4,171.2,2828.2,988.0,1.0
0,15,.,0.4,29.4,144.0,59.4,0.2
0,16,nothing,3.4,294.6,320.0,1119.2,1.0
0,17,is,1.2,34.6,502.4,170.8,0.4
0,18,black,5.0,178.6,597.4,1059.8,1.0
0,19,and,2.8,214.0,1391.4,715.8,1.0
0,20,white,4.2,434.6,8985.6,1412.2,1.0
0,21,.<EOS>,1.6,153.4,4644.8,386.8,0.6
1,0,The,0.4,110.0,110.0,110.0,0.4
1,1,entire,3.4,146.0,146.0,567.8,0.8
1,2,movie,2.8,137.4,296.8,993.0,0.8
1,3,is,0.2,16.6,16.6,16.6,0.2
1,4,so,1.2,183.6,183.6,377.8,0.8
1,5,formulaic,3.4,367.2,476.0,1437.8,1.0
1,6,and,0.6,127.4,314.6,127.4,0.6
1,7,forgettable,4.8,175.4,274.0,1611.6,1.0
1,8,that,1.0,102.8,102.8,246.8,0.4
1,9,it's,1.4,259.2,259.2,432.6,0.8
1,10,hardly,4.4,206.4,260.2,1098.6,1.0
1,11,over,3.8,337.4,386.0,1255.0,1.0
1,12,before,5.2,209.2,536.4,2090.2,1.0
1,13,it,1.0,199.4,663.0,277.6,0.6
1,14,begins,3.4,222.6,1009.0,1165.6,1.0
1,15,to,0.0,0.0,0.0,0.0,0.0
1,16,fade,1.8,121.4,2741.0,282.6,0.6
1,17,from,2.8,127.4,2220.0,608.8,0.8
1,18,memory,3.2,309.8,1394.8,1165.4,0.8
1,19,.<EOS>,1.8,117.4,8103.0,882.4,0.4
2,0,The,1.4,68.6,112.6,170.6,0.6
2,1,acting,3.8,171.4,436.2,1010.6,0.8
2,2,is,0.6,44.6,90.0,114.6,0.2
2,3,fine,2.2,253.4,608.4,582.0,0.8
2,4,but,0.8,71.6,71.6,190.2,0.4
2,5,the,0.6,172.6,172.6,172.6,0.6
2,6,script,1.4,156.4,156.4,373.4,0.6
2,7,is,0.8,109.8,218.4,215.2,0.4
2,8,about,2.4,212.0,246.0,652.8,1.0
2,9,as,1.8,257.2,273.2,429.0,0.8
2,10,interesting,2.6,170.2,255.4,540.8,1.0
2,11,as,0.6,228.6,543.8,228.6,0.6
2,12,a,1.2,412.8,440.8,582.8,0.6
2,13,recording,2.6,243.4,262.8,693.4,1.0
2,14,of,0.4,66.8,66.8,66.8,0.4
2,15,conversations,3.2,254.6,779.4,778.6,1.0
2,16,at,0.2,104.6,104.6,104.6,0.2
2,17,the,0.4,66.0,795.8,66.0,0.4
2,18,wal-mart,3.2,165.8,727.8,847.2,0.8
2,19,checkout,3.0,267.2,2098.6,886.2,0.8
2,20,line,0.4,98.8,400.0,98.8,0.4
2,21,.<EOS>,1.2,130.0,3709.0,516.6,0.6
3,0,It's,1.8,129.6,145.6,258.4,0.8
3,1,often,4.4,170.0,403.4,995.2,0.8
3,2,infuriatingly,5.2,332.0,818.8,1714.6,0.8
3,3,glib,1.2,155.4,155.4,245.4,0.6
